bls_item_code,item_name,series_id_cpi_u_nsa,series_id_cpi_u_sa,series_id_cpi_w_nsa,series_id_cpi_w_sa,api_url_v2,data_viewer_url
SA0,All items,CUUR0000SA0,CUSR0000SA0,CWUR0000SA0,CWSR0000SA0,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0,https://data.bls.gov/timeseries/CUUR0000SA0
SA0E,Energy,CUUR0000SA0E,CUSR0000SA0E,CWUR0000SA0E,CWSR0000SA0E,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0E,https://data.bls.gov/timeseries/CUUR0000SA0E
SA0L1,All items less food,CUUR0000SA0L1,CUSR0000SA0L1,CWUR0000SA0L1,CWSR0000SA0L1,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0L1,https://data.bls.gov/timeseries/CUUR0000SA0L1
SA0L12,All items less food and shelter,CUUR0000SA0L12,CUSR0000SA0L12,CWUR0000SA0L12,CWSR0000SA0L12,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0L12,https://data.bls.gov/timeseries/CUUR0000SA0L12
SA0L1E,All items less food and energy,CUUR0000SA0L1E,CUSR0000SA0L1E,CWUR0000SA0L1E,CWSR0000SA0L1E,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0L1E,https://data.bls.gov/timeseries/CUUR0000SA0L1E
SA0L2,All items less shelter,CUUR0000SA0L2,CUSR0000SA0L2,CWUR0000SA0L2,CWSR0000SA0L2,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0L2,https://data.bls.gov/timeseries/CUUR0000SA0L2
SA0L5,All items less medical care,CUUR0000SA0L5,CUSR0000SA0L5,CWUR0000SA0L5,CWSR0000SA0L5,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0L5,https://data.bls.gov/timeseries/CUUR0000SA0L5
SA0LE,All items less energy,CUUR0000SA0LE,CUSR0000SA0LE,CWUR0000SA0LE,CWSR0000SA0LE,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA0LE,https://data.bls.gov/timeseries/CUUR0000SA0LE
SAC,Commodities,CUUR0000SAC,CUSR0000SAC,CWUR0000SAC,CWSR0000SAC,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAC,https://data.bls.gov/timeseries/CUUR0000SAC
SACE,Energy commodities,CUUR0000SACE,CUSR0000SACE,CWUR0000SACE,CWSR0000SACE,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SACE,https://data.bls.gov/timeseries/CUUR0000SACE
SACL1,Commodities less food,CUUR0000SACL1,CUSR0000SACL1,CWUR0000SACL1,CWSR0000SACL1,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SACL1,https://data.bls.gov/timeseries/CUUR0000SACL1
SACL11,Commodities less food and beverages,CUUR0000SACL11,CUSR0000SACL11,CWUR0000SACL11,CWSR0000SACL11,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SACL11,https://data.bls.gov/timeseries/CUUR0000SACL11
