item_name,year,indent_level,cpi_u,cpi_w,bls_item_code,bls_series_id_cpi_u_nsa
All items,2020,0,100.0,100.0,SA0,CUUR0000SA0
Food and beverages,2020,1,15.157,16.65,SAF,CUUR0000SAF
Food,2020,2,14.119,15.731,SAF1,CUUR0000SAF1
Food at home,2020,3,7.772,8.962,SAF11,CUUR0000SAF11
Cereals and bakery products,2020,4,1.001,1.142,SAF111,CUUR0000SAF111
Cereals and cereal products,2020,5,0.308,0.373,SEFA,CUUR0000SEFA
Flour and prepared flour mixes,2020,6,0.041,0.052,SEFA01,CUUR0000SEFA01
Breakfast cereal,2020,6,0.142,0.167,SEFA02,CUUR0000SEFA02
"Rice, pasta, cornmeal",2020,6,0.124,0.154,SEFA03,CUUR0000SEFA03
Bakery products,2020,5,0.693,0.77,SEFB,CUUR0000SEFB
Bread,2020,6,0.2,0.216,SEFB01,CUUR0000SEFB01
"Fresh biscuits, rolls, muffins",2020,6,0.101,0.112,SEFB02,CUUR0000SEFB02
"Cakes, cupcakes, and cookies",2020,6,0.178,0.2,SEFB03,CUUR0000SEFB03
Other bakery products,2020,6,0.214,0.242,SEFB04,CUUR0000SEFB04
"Meats, poultry, fish, and eggs",2020,4,1.736,2.131,SAF112,CUUR0000SAF112
"Meats, poultry, and fish",2020,5,1.637,2.012,SAF1121,CUUR0000SAF1121
Meats,2020,6,1.026,1.256,SAF11211,CUUR0000SAF11211
Beef and veal,2020,7,0.471,0.582,SEFC,CUUR0000SEFC
Uncooked ground beef,2020,8,0.173,0.225,SEFC01,CUUR0000SEFC01
Uncooked beef roasts,2020,8,0.073,0.089,SEFC02,CUUR0000SEFC02
Uncooked beef steaks,2020,8,0.18,0.212,SEFC03,CUUR0000SEFC03
Uncooked other beef and veal,2020,8,0.044,0.056,SEFC04,CUUR0000SEFC04
Pork,2020,7,0.322,0.403,SEFD,CUUR0000SEFD
"Bacon, breakfast sausage, and related products",2020,8,0.134,0.159,SEFD01,CUUR0000SEFD01
Ham,2020,8,0.062,0.074,SEFD02,CUUR0000SEFD02
Pork chops,2020,8,0.052,0.072,SEFD03,CUUR0000SEFD03
"Other pork including roasts, steaks, and ribs",2020,8,0.075,0.098,SEFD04,CUUR0000SEFD04
Other meats,2020,7,0.233,0.271,SEFE,CUUR0000SEFE
Poultry,2020,6,0.333,0.423,SEFF,CUUR0000SEFF
Chicken,2020,7,0.273,0.363,SEFF01,CUUR0000SEFF01
Other uncooked poultry including turkey,2020,7,0.06,0.06,SEFF02,CUUR0000SEFF02
Fish and seafood,2020,6,0.278,0.333,SEFG,CUUR0000SEFG
Fresh fish and seafood,2020,7,0.14,0.165,SEFG01,CUUR0000SEFG01
Processed fish and seafood,2020,7,0.138,0.168,SEFG02,CUUR0000SEFG02
Eggs,2020,5,0.099,0.119,SEFH,CUUR0000SEFH
Dairy and related products,2020,4,0.792,0.119,SEFJ,CUUR0000SEFJ
Milk,2020,5,0.218,0.264,SEFJ01,CUUR0000SEFJ01
Cheese and related products,2020,5,0.266,0.274,SEFJ02,CUUR0000SEFJ02
Ice cream and related products,2020,5,0.111,0.116,SEFJ03,CUUR0000SEFJ03
Other dairy and related products,2020,5,0.197,0.212,SEFJ04,CUUR0000SEFJ04
Fruits and vegetables,2020,4,1.341,1.46,SAF113,CUUR0000SAF113
Fresh fruits and vegetables,2020,5,1.053,1.125,SAF1131,CUUR0000SAF1131
Fresh fruits,2020,6,0.538,0.568,SEFK,CUUR0000SEFK
Apples,2020,7,0.073,0.08,SEFK01,CUUR0000SEFK01
Bananas,2020,7,0.074,0.085,SEFK02,CUUR0000SEFK02
Citrus fruits,2020,7,0.136,0.156,SEFK03,CUUR0000SEFK03
Other fresh fruits,2020,7,0.254,0.247,SEFK04,CUUR0000SEFK04
Fresh vegetables,2020,6,0.516,0.557,SEFL,CUUR0000SEFL
Potatoes,2020,7,0.075,0.082,SEFL01,CUUR0000SEFL01
Lettuce,2020,7,0.068,0.07,SEFL02,CUUR0000SEFL02
Tomatoes,2020,7,0.082,0.092,SEFL03,CUUR0000SEFL03
Other fresh vegetables,2020,7,0.29,0.312,SEFL04,CUUR0000SEFL04
Processed fruits and vegetables,2020,5,0.288,0.336,SEFM,CUUR0000SEFM
Canned fruits and vegetables,2020,6,0.15,0.179,SEFM01,CUUR0000SEFM01
Frozen fruits and vegetables,2020,6,0.086,0.093,SEFM02,CUUR0000SEFM02
