ces_industry_code,industry_title,parent_ces_code,ownership,supersector_code,industry_subcode,series_industry_8digit,hierarchy_depth,series_id_SA_employment,series_id_NSA_employment,series_id_SA_avg_hourly_earnings,series_id_NSA_avg_hourly_earnings,series_id_SA_avg_weekly_hours,series_id_NSA_avg_weekly_hours,series_id_SA_avg_weekly_earnings,series_id_NSA_avg_weekly_earnings,display_level,supersector_name
00-000000,Total nonfarm,,Private and all government,00,000000,00000000,0,CES0000000001,CEU0000000001,CES0000000003,CEU0000000003,CES0000000002,CEU0000000002,CES0000000011,CEU0000000011,0,Total Nonfarm
05-000000,Total private,00-000000,Private,05,000000,05000000,1,CES0500000001,CEU0500000001,CES0500000003,CEU0500000003,CES0500000002,CEU0500000002,CES0500000011,CEU0500000011,0,Total Private
06-000000,Goods-producing,05-000000,Private,06,000000,06000000,2,CES0600000001,CEU0600000001,CES0600000003,CEU0600000003,CES0600000002,CEU0600000002,CES0600000011,CEU0600000011,1,Goods-Producing
07-000000,Service-providing,00-000000,Private and all government,07,000000,07000000,1,CES0700000001,CEU0700000001,CES0700000003,CEU0700000003,CES0700000002,CEU0700000002,CES0700000011,CEU0700000011,1,Service-Providing
08-000000,Private service-providing,05-000000,Private,08,000000,08000000,2,CES0800000001,CEU0800000001,CES0800000003,CEU0800000003,CES0800000002,CEU0800000002,CES0800000011,CEU0800000011,1,Private Service-Providing
10-000000,Mining and logging,06-000000,Private,10,000000,10000000,3,CES1000000001,CEU1000000001,CES1000000003,CEU1000000003,CES1000000002,CEU1000000002,CES1000000011,CEU1000000011,2,Mining and Logging
10-113300,Logging,10-000000,Private,10,113300,10113300,4,CES1011330001,CEU1011330001,CES1011330003,CEU1011330003,CES1011330002,CEU1011330002,CES1011330011,CEU1011330011,3,Mining and Logging
10-210000,Mining - quarrying - and oil and gas extraction,10-000000,Private,10,210000,10210000,4,CES1021000001,CEU1021000001,CES1021000003,CEU1021000003,CES1021000002,CEU1021000002,CES1021000011,CEU1021000011,3,Mining and Logging
10-211000,Oil and gas extraction,10-210000,Private,10,211000,10211000,5,CES1021100001,CEU1021100001,CES1021100003,CEU1021100003,CES1021100002,CEU1021100002,CES1021100011,CEU1021100011,4,Mining and Logging
10-212000,Mining (except oil and gas),10-210000,Private,10,212000,10212000,5,CES1021200001,CEU1021200001,CES1021200003,CEU1021200003,CES1021200002,CEU1021200002,CES1021200011,CEU1021200011,4,Mining and Logging
10-212100,Coal mining,10-212000,Private,10,212100,10212100,6,CES1021210001,CEU1021210001,CES1021210003,CEU1021210003,CES1021210002,CEU1021210002,CES1021210011,CEU1021210011,5,Mining and Logging
10-212114,Surface coal mining,10-212100,Private,10,212114,10212114,7,CES1021211401,CEU1021211401,CES1021211403,CEU1021211403,CES1021211402,CEU1021211402,CES1021211411,CEU1021211411,6,Mining and Logging
10-212115,Underground coal mining,10-212100,Private,10,212115,10212115,7,CES1021211501,CEU1021211501,CES1021211503,CEU1021211503,CES1021211502,CEU1021211502,CES1021211511,CEU1021211511,6,Mining and Logging
10-212200,Metal ore mining,10-212000,Private,10,212200,10212200,6,CES1021220001,CEU1021220001,CES1021220003,CEU1021220003,CES1021220002,CEU1021220002,CES1021220011,CEU1021220011,5,Mining and Logging
10-212220,Gold ore and silver ore mining,10-212200,Private,10,212220,10212220,7,CES1021222001,CEU1021222001,CES1021222003,CEU1021222003,CES1021222002,CEU1021222002,CES1021222011,CEU1021222011,6,Mining and Logging
10-212290,Iron ore - copper - nickel - lead - zinc - and other metal ore mining,10-212200,Private,10,212290,10212290,7,CES1021229001,CEU1021229001,CES1021229003,CEU1021229003,CES1021229002,CEU1021229002,CES1021229011,CEU1021229011,6,Mining and Logging
10-212300,Nonmetallic mineral mining and quarrying,10-212000,Private,10,212300,10212300,6,CES1021230001,CEU1021230001,CES1021230003,CEU1021230003,CES1021230002,CEU1021230002,CES1021230011,CEU1021230011,5,Mining and Logging
10-212310,Stone mining and quarrying,10-212300,Private,10,212310,10212310,7,CES1021231001,CEU1021231001,CES1021231003,CEU1021231003,CES1021231002,CEU1021231002,CES1021231011,CEU1021231011,6,Mining and Logging
10-212312,Crushed and broken limestone mining and quarrying,10-212310,Private,10,212312,10212312,8,CES1021231201,CEU1021231201,CES1021231203,CEU1021231203,CES1021231202,CEU1021231202,CES1021231211,CEU1021231211,7,Mining and Logging
10-212319,Dimension stone - crushed and broken granite - and other crushed and broken stone mining and quarrying,10-212310,Private,10,212319,10212319,8,CES1021231901,CEU1021231901,CES1021231903,CEU1021231903,CES1021231902,CEU1021231902,CES1021231911,CEU1021231911,7,Mining and Logging
10-212320,Sand - gravel - clay - and ceramic and refractory minerals mining and quarrying,10-212300,Private,10,212320,10212320,7,CES1021232001,CEU1021232001,CES1021232003,CEU1021232003,CES1021232002,CEU1021232002,CES1021232011,CEU1021232011,6,Mining and Logging
10-212321,Construction sand and gravel mining,10-212320,Private,10,212321,10212321,8,CES1021232101,CEU1021232101,CES1021232103,CEU1021232103,CES1021232102,CEU1021232102,CES1021232111,CEU1021232111,7,Mining and Logging
